,AGE,CRIME,DATE,DAY,METHOD,MONTH,NAME (Last First),RACE,SEX,STATE,Unnamed: 0,YEAR,executed
0,,Espionage,,,Shot,,KENDALL GEORGE,White,M,VA,0.0,1608,y
1,,Theft,,1.0,Hanging,3.0,FRANK DANIELL,White,M,VA,1.0,1622,y
2,,Sodomy - Buggery - Bestiality,,,Hanging,,CORNISH RICHARD,White,M,VA,2.0,1624,y
3,21.0,Rape,,6.0,Hanging,,HAYLE THOMAS,White,M,VA,3.0,1626,y
4,40.0,Murder,,30.0,Hanging,9.0,BILLINGTON JOHN,White,M,MA,4.0,1630,y
5,,unknown,,,Hanging,,CHAMPION JANE,White,F,VA,5.0,1632,y
6,,Murder,,24.0,Hanging,6.0,HATCH MARGARET,White,F,VA,6.0,1633,y
7,,Murder,,23.0,Hanging,9.0,SCHOOLER WILLIAM,White,M,MA,7.0,1637,y
8,,Robbery - Murder,,,Hanging,,WILLIAMS JOHN,White,M,MA,8.0,1637,y
9,,Murder,,6.0,Hanging,12.0,TALBY DOROTHY,White,F,MA,9.0,1638,y
10,,Robbery - Murder,,,Hanging,,JACKSON THOMAS,White,M,MA,10.0,1638,y
11,,Robbery - Murder,,,Hanging,,PEACH ARTHUR,White,M,MA,11.0,1638,y
12,,Robbery - Murder,,,Hanging,,STINNINGS RICHARD,White,M,MA,12.0,1638,y
13,,Piracy,,20.0,Hanging,6.0,SMITH THOMAS,White,M,MD,13.0,1638,y
14,,unknown,,20.0,Hanging,6.0,BECKLER EDWARD,White,M,MD,14.0,1638,y
15,,Murder,,30.0,Hanging,10.0,NEPAUDUCK,Native Amer.,M,CT,15.0,1639,y
16,18.0,Sodomy-Buggery-Bestiality,,10.0,Hanging,12.0,HACKETT WILLIAM,White,M,MA,16.0,1641,y
17,,Sodomy-Buggery-Bestiality,,,Other,,CREOLI JAN,Black,M,NY,17.0,1641,y
18,,Sodomy-Buggery-Bestiality,,1.0,Hanging,4.0,SPENCER GEORGE,White,M,CT,18.0,1642,y
19,17.0,Sodomy-Buggery-Bestiality,,,Hanging,,GRAUNGER THOMAS,White,M,MA,19.0,1642,y
20,,Adultery,,21.0,Hanging,3.0,BRITTON JAMES,White,M,MA,20.0,1643,y
21,18.0,Adultery,,21.0,Hanging,3.0,LATHAM MARY,White,F,MA,21.0,1643,y
22,,Murder,,8.0,Hanging,4.0,FRANKLIN WILLIAM,White,M,MA,22.0,1644,y
23,,Murder,,,Hanging,,CORNISH MRS.,White,F,ME,23.0,1644,y
24,22.0,Murder,,,Hanging,,MARTIN MARY,White,F,MA,24.0,1646,y
25,,Witchcraft,,26.0,Hanging,5.0,YOUNG ACHSAH,White,M,CT,25.0,1647,y
26,,Witchcraft,,15.0,Hanging,6.0,JONES MARGARET,White,F,MA,26.0,1648,y
27,,Murder,,,Hanging,,BISHOP ALICE,White,F,MA,27.0,1648,y
28,,Witchcraft,,,Hanging,,JOHNSON MARY,White,F,CT,28.0,1649,y
29,,Witchcraft,,,Hanging,,BASSETT GOODWIFE,White,F,CT,29.0,1651,y
30,,Witchcraft,,29.0,Hanging,5.0,PARSONS MARY,White,F,MA,30.0,1651,y
31,,Witchcraft,,,Hanging,,KENDALL,White,F,MA,31.0,1651,y
32,,Witchcraft,,,Hanging,,KNAPP ELIZABETH,White,F,CT,32.0,1653,y
33,,Sodomy-Buggery-Bestiality,,,Hanging,,,White,M,CT,33.0,1655,y
34,,Sodomy-Buggery-Bestiality,,,Hanging,,,White,M,CT,34.0,1655,y
35,,Other,,,Hanging,,ELTONHEAD WILLIAM,White,M,MD,35.0,1655,y
